Customer ID,Name,Gender,Age,Country,Continent,City
CUST1,Vicki Wright,Female,26,Panama,Europe,Port John
CUST2,Stephanie Castro,Female,49,Madagascar,North America,Joshuafort
CUST3,Ronald Graham,Male,56,Cote d'Ivoire,South America,East Shannon
CUST4,David White,Female,60,United Arab Emirates,Europe,Omarmouth
CUST5,Jerry Gonzalez,Female,21,British Indian Ocean Territory (Chagos Archipelago),Europe,New Maryside
CUST6,John Jordan,Male,56,Cameroon,Africa,South Ashley
CUST7,Kevin Kaiser,Female,34,Saint Barthelemy,Asia,Schmidthaven
CUST8,Stacey Jimenez,Male,39,Iraq,North America,Bennettview
CUST9,Zachary Williams,Male,60,Saint Vincent and the Grenadines,South America,Crawfordport
CUST10,Casey Clark,Male,28,Morocco,Oceania,Port Brandontown
CUST11,James Mills,Male,36,Palestinian Territory,North America,Lake Daltonton
CUST12,Jared Johnson,Male,36,Guatemala,Asia,Oscarberg
CUST13,Matthew Cherry Jr.,Female,22,Honduras,Asia,Port Jasmineport
CUST14,Kristy Lin,Female,32,Moldova,Oceania,Griffinville
CUST15,Karen Oliver,Male,58,Panama,South America,Andreaberg
CUST16,Dana Campbell,Male,37,Poland,Asia,North Ronnie
CUST17,Michael Garrett,Male,43,Swaziland,Oceania,Baldwinton
CUST18,Chase Kaufman,Female,57,United States Minor Outlying Islands,Africa,West Brianfurt
CUST19,Christine Shaffer,Male,62,Libyan Arab Jamahiriya,Africa,Kennedyburgh
CUST20,Felicia Castillo,Female,18,Kenya,South America,North Jose
CUST21,Mark Washington,Male,28,Samoa,North America,Ramirezfurt
CUST22,Brian Jones,Female,50,Ukraine,Europe,Port Shane
CUST23,Caitlin Parker,Female,64,French Polynesia,Africa,South Davidborough
CUST24,Sarah Kelley,Female,67,Denmark,Oceania,North Robert
CUST25,Rachael Rodriguez,Male,25,Niue,North America,Clintonfurt
CUST26,Jamie Daniel,Female,22,Martinique,Europe,Blakeside
CUST27,Audrey Waller,Female,42,Vietnam,South America,Jeffreymouth
CUST28,Nicholas Rojas,Male,47,Taiwan,South America,Smithside
CUST29,Carl Armstrong,Male,54,Russian Federation,Asia,Leonardmouth
CUST30,Rachel Morales,Female,35,Netherlands Antilles,Europe,Christensenport
CUST31,Tamara Ball,Female,54,Uzbekistan,South America,Troyfort
CUST32,Christopher Anderson,Female,58,Switzerland,Africa,West Joshua
CUST33,Jacqueline Petty,Male,63,Macao,South America,Stephaniemouth
CUST34,Mark Ross,Male,35,Norfolk Island,North America,Perrystad
CUST35,Alex Bishop,Female,24,Mexico,Europe,Vanessaville
CUST36,Barbara Smith,Female,26,Faroe Islands,Africa,West Danielletown
CUST37,John Chaney MD,Male,42,Venezuela,Asia,East Anne
CUST38,Bradley Price,Male,57,Cameroon,Europe,Kristychester
CUST39,Megan Alexander,Female,36,United Arab Emirates,Asia,South Jenniferburgh
CUST40,Gregory Burns,Female,35,Argentina,South America,Glennfort
CUST41,John Gould,Female,28,Myanmar,Oceania,South Micheleville
CUST42,Briana Hancock,Male,44,Tokelau,South America,New Alicia
CUST43,George Wells,Male,28,Angola,Asia,Port Sarah
CUST44,Joseph Cochran,Male,62,Swaziland,North America,Jeffreyburgh
CUST45,Jessica Smith,Male,18,Liechtenstein,Oceania,North Ericaberg
CUST46,Jamie Horne,Female,56,Czech Republic,Asia,Richardhaven
CUST47,Laura Scott,Female,62,Trinidad and Tobago,Asia,Phillipsview
CUST48,Jennifer Rogers,Male,69,Indonesia,North America,New Jean
CUST49,Steven Lawson,Male,37,Armenia,Asia,Jasonberg
CUST50,Christopher Clark,Male,55,Tanzania,Europe,Williamsfort
CUST51,Jillian Wright,Male,18,Seychelles,Asia,Nelsonborough
CUST52,Christina Mcclure,Male,57,French Polynesia,South America,North Sharon
CUST53,Victoria Ewing,Female,29,Lebanon,Africa,North Joseph
CUST54,Margaret Ray,Male,59,Latvia,North America,Bradfordborough
CUST55,Maria Jones,Female,50,Saint Martin,Asia,South Angela
CUST56,Peter Johnson,Male,38,Israel,Asia,Tiffanyberg
CUST57,Jordan Robinson,Male,23,Slovenia,Oceania,Devonborough
CUST58,Steven Clark,Male,58,Iran,Africa,East Jasontown
CUST59,Marissa Ramirez,Male,38,Montserrat,Asia,Chasetown
CUST60,Craig Clark,Male,25,Poland,Europe,Kellyview
CUST61,David Valdez,Male,35,Venezuela,Africa,Alexanderberg
CUST62,Jeffrey Anderson,Male,58,Puerto Rico,Asia,East Dale
CUST63,Alice Fisher,Male,23,Turkmenistan,Oceania,Oneillberg
CUST64,Susan Reed,Male,28,Sweden,Oceania,Duanefort
CUST65,Lindsey Reynolds,Male,33,Fiji,Oceania,Jennifermouth
CUST66,Lauren Price,Male,29,Svalbard & Jan Mayen Islands,South America,Port Deborah
CUST67,Nicholas Williams,Male,69,Kuwait,Africa,Meganshire
CUST68,Angela Duffy,Male,45,Saint Vincent and the Grenadines,Asia,Smithshire
CUST69,Brian Holloway,Female,56,India,South America,West Robert
CUST70,Robert Anderson,Female,29,Guinea,Asia,West Christopher
CUST71,Tina David,Male,51,Andorra,Africa,Lake Lindsay
CUST72,Charles Logan,Female,56,Comoros,Africa,Port George
CUST73,Kevin Lambert,Female,43,Slovakia (Slovak Republic),Asia,Ryanton
CUST74,Matthew Macias,Male,44,Moldova,South America,Lake Lauramouth
CUST75,Christopher Holland,Male,54,Thailand,South America,North Davidhaven
CUST76,Kathleen Gonzales,Female,53,Mexico,South America,South William
CUST77,Melanie Roberts,Female,21,Guadeloupe,South America,East Cole
CUST78,James Weaver,Female,26,Russian Federation,South America,West Elizabethchester
CUST79,Sarah Yates,Female,18,Zambia,North America,Kimberg
CUST80,James Reese,Male,48,Uganda,Asia,Lake Richard
CUST81,Cindy Young,Female,55,Iceland,Oceania,Clementsshire
CUST82,Natasha Fuller,Male,47,Uganda,Africa,East Josephshire
CUST83,Pamela Kim,Male,67,Macao,Europe,Courtneyland
CUST84,Nancy Perez,Female,59,French Polynesia,Europe,North Adamchester
CUST85,Maria Mack,Female,44,Sao Tome and Principe,Oceania,Bradleyberg
CUST86,Melissa Parker,Male,44,Bermuda,Europe,Kristaville
CUST87,Kara Gomez,Female,38,Saint Martin,Europe,Roberttown
CUST88,Joseph Hughes,Male,39,Comoros,Oceania,West Timothy
CUST89,Jake Navarro,Male,28,Somalia,South America,Rangelton
CUST90,Jacob Benjamin,Male,33,British Indian Ocean Territory (Chagos Archipelago),North America,West Nancyton
CUST91,Kelly Irwin,Male,25,Guatemala,Africa,Contrerasfurt
CUST92,Glenda Crawford,Male,20,Tajikistan,South America,Whiteland
CUST93,Rodney Hoffman,Male,70,Dominica,Europe,Anthonyfurt
CUST94,Kara Lyons,Female,30,New Caledonia,Oceania,Bethland
CUST95,Kyle Johnson,Male,18,Ecuador,Europe,Port Lindsay
CUST96,Shelby Smith,Male,31,Poland,South America,New Kelly
CUST97,Brad Smith,Female,31,Mongolia,Africa,Jonesport
CUST98,Jason Pineda,Male,48,Pakistan,Asia,Elizabethfurt
CUST99,Stephen Alvarez,Male,66,Central African Republic,North America,Kimberlyland
CUST100,Jay Turner,Male,54,San Marino,Europe,Port Ericfurt
CUST101,Matthew Shaw,Male,32,Cyprus,Europe,Curtisbury
CUST102,Joseph Diaz,Male,69,Tonga,Africa,Port Kellieton
CUST103,Ronald Williams,Female,45,Australia,South America,Lake Jose
CUST104,Elizabeth Calhoun,Female,58,Jamaica,South America,North Matthew
CUST105,Mrs. Jamie Smith,Female,36,Gibraltar,North America,East Alexandra
CUST106,Lisa Merritt,Female,36,Mali,Europe,New Ericshire
CUST107,Valerie Martinez,Male,29,Guadeloupe,Oceania,Brownberg
CUST108,Chelsea Burns,Female,26,Dominica,Africa,Donaldsonfort
CUST109,James Burton,Female,52,Namibia,North America,South Bethanystad
CUST110,Hannah Gates,Male,57,Rwanda,North America,West David
CUST111,Luke Miller,Male,22,Costa Rica,South America,East Benjaminbury
CUST112,Paul Jordan,Female,50,Yemen,Africa,Amyburgh
CUST113,Andrew Brown,Male,41,Albania,Africa,Joshuastad
CUST114,Bruce Paul,Female,28,Angola,North America,Ramirezburgh
CUST115,Timothy Schmidt,Male,24,Suriname,Oceania,West Andrea
CUST116,David Brown Jr.,Male,40,Belarus,Oceania,East Todd
CUST117,Ashley Garza,Male,21,Senegal,Africa,Jeffreyfort
CUST118,Kyle Stewart,Male,19,Palestinian Territory,Oceania,Davidtown
CUST119,Carolyn Jensen,Female,69,Jordan,North America,North Tarahaven
CUST120,Cheryl Dominguez,Male,18,Gambia,Africa,Quinnbury
CUST121,Sheila Cooper,Female,20,Thailand,Asia,South Elizabeth
CUST122,Craig Thomas,Male,50,Kazakhstan,Asia,South Michael
CUST123,Logan Wheeler,Female,48,Puerto Rico,Africa,Lake Mollyton
CUST124,Steven Gonzalez,Male,46,Lao People's Democratic Republic,North America,Kington
CUST125,Michelle Woods,Male,38,Bangladesh,North America,Lake Stephanie
CUST126,Chris Young,Male,55,Trinidad and Tobago,North America,South Ashleyville
CUST127,James Nguyen,Female,63,Moldova,Oceania,Smithside
CUST128,Michael Smith,Female,47,Isle of Man,Europe,New Richardhaven
CUST129,Jeffrey Williams,Female,35,Canada,South America,New Joshuafurt
CUST130,Christina Moore,Male,70,Sierra Leone,Africa,West Eric
CUST131,Jill Velasquez,Female,70,Trinidad and Tobago,Europe,Gibbshaven
CUST132,Ann Castillo,Female,36,United States of America,Africa,Port Misty
CUST133,Richard Estes,Female,38,Poland,Oceania,Hamiltonfort
CUST134,Benjamin Snyder,Female,45,Kenya,Oceania,New Victoria
CUST135,Natasha Oliver,Female,35,Zambia,South America,Crystalchester
CUST136,Sarah Morton,Male,52,Maldives,North America,Cannonstad
CUST137,Joseph Williams,Male,57,Jordan,North America,New Sarahmouth
CUST138,Jessica Oliver,Female,31,Brazil,Asia,Lake Patricia
CUST139,Gregory Walker,Male,66,Fiji,South America,Chambersmouth
CUST140,Rebecca Rodriguez,Female,42,Cote d'Ivoire,North America,Alexanderberg
